Título;Ano de lançamento;Plataforma;Vendas
Gran Turismo;1997;PlayStation;10850000
Gran Turismo 2;1999;PlayStation;9370000
Gran Turismo 3: A-Spec;2001;;14890000
Conceito do Gran Turismo: Tóquio 2001;2002;;440000
Conceito do Gran Turismo: Tóquio-Seul 2002;2002;;90000
Conceito do Gran Turismo: Tóquio-Genebra 2002;2002;PlayStation 2;1030000
Gran Turismo 4 Prólogo;2003;PlayStation 2;1400000
Gran Turismo 4;2004;PlayStation 2;11760000
Gran Turismo 4 Online (versão de teste);2006;;
Conceito Gran Turismo HD;2006;;
Gran Turismo 5 Prólogo;2007;PlayStation 3;5350000
Gran Turismo;2009;PlayStation portátil;4670000
Gran Turismo 5;2010;PlayStation 3;11950000
Gran Turismo 6;2013;PlayStation 3;5220000
Gran Turismo Sport;2017;PlayStation 4;12977000
Gran Turismo 7;2022;PlayStation 4 / PlayStation 5;
